Key,Value
重置所有选项到默认值,Reset all options to default
重置,Reset
复制配置文件夹地址到剪贴板,Copy config folder path to clipboard
复制,Copy
点击输出,Click to output
日志库测试,Log library test
测试Trace输出,Test Trace output
测试Debug输出,Test Debug output
测试Info输出,Test Info output
测试Warn输出,Test Warn output
测试Error输出,Test Error output
测试Fatal输出,Test Fatal output
最低打印等级,Minimum log level
调试选项,Debug options
显示时间戳,Show timestamp
显示日志等级,Show log level
显示文件路径,Show file path
显示调用函数,Show calling function
显示行号,Show line number
显示调用栈,Show call stack
彩色输出（仅限支持的终端）,Colored output (supported terminals only)
切换颜色模式,Switch color mode
切换,Switch
显示Mod标签,Show Mod Label
