Key,Value
重置所有选项到默认值,Réinitialiser toutes les options par défaut
重置,Réinitialiser
复制配置文件夹地址到剪贴板,Copier le chemin du dossier de configuration
复制,Copier
点击输出,Cliquer pour afficher
日志库测试,Test de la bibliothèque de logs
测试Trace输出,Test de sortie Trace
测试Debug输出,Test de sortie Debug
测试Info输出,Test de sortie Info
测试Warn输出,Test de sortie Warn
测试Error输出,Test de sortie Error
测试Fatal输出,Test de sortie Fatal
最低打印等级,Niveau de log minimal
调试选项,Options de débogage
显示时间戳,Afficher l’horodatage
显示日志等级,Afficher le niveau de log
显示文件路径,Afficher le chemin du fichier
显示调用函数,Afficher la fonction appelée
显示行号,Afficher le numéro de ligne
显示调用栈,Afficher la pile d’appels
彩色输出（仅限支持的终端）,Sortie colorée (terminaux compatibles uniquement)
切换颜色模式,Changer le mode de couleur
切换,Changer
