Key,Value
重置所有选项到默认值,Alle Optionen auf Standard zurücksetzen
重置,ZURÜCKSETZEN
复制配置文件夹地址到剪贴板,Konfigurationsordnerpfad in die Zwischenablage kopieren
复制,Kopieren
点击输出,Klicken zum Ausgeben
日志库测试,Logbibliothek-Test
测试Trace输出,Trace-Ausgabe testen
测试Debug输出,Debug-Ausgabe testen
测试Info输出,Info-Ausgabe testen
测试Warn输出,Warn-Ausgabe testen
测试Error输出,Error-Ausgabe testen
测试Fatal输出,Fatal-Ausgabe testen
最低打印等级,Mindestprotokollstufe
调试选项,Debug-Optionen
显示时间戳,Zeitstempel anzeigen
显示日志等级,Protokollstufe anzeigen
显示文件路径,Dateipfad anzeigen
显示调用函数,Aufrufende Funktion anzeigen
显示行号,Zeilennummer anzeigen
显示调用栈,Aufrufstapel anzeigen
彩色输出（仅限支持的终端）,Farbige Ausgabe (nur unterstützte Terminals)
切换颜色模式,Farbmodus wechseln
切换,Wechseln
