Key,Value
按价值,По стоимости
按重量,По весу
按价重比,Цена/Вес
价重比,Цена/Вес
按稀有度,По редкости
按单价,По цене за единицу
按ID,По ID
显示稀有度按钮,Показать кнопку редкости
显示单价按钮,Показать кнопку цены за единицу
显示价格按钮,Показать кнопку цены
显示重量按钮,Показать кнопку веса
显示价重比按钮,Показать кнопку Цена/Вес
显示ID按钮,Показать кнопку ID
显示价格信息,Показать информацию о цене
显示价重比信息,Показать информацию Цена/Вес
交换左右键排序方向,Поменять местами левый/правый клик сортировки
启用调试日志,Включить отладочный лог
单价,Цена за единицу
显示单价信息,Показать информацию о цене за единицу
